Operateur;X;Y;2G;3G;4G;postcode
20801;102980.0;6847973.0;1;1;0;29242
20810;103113.0;6848661.0;1;1;0;29242
20820;103114.0;6848664.0;1;1;1;29242
20801;112032.0;6840427.0;0;1;1;29259
20801;115635.0;6799938.0;1;1;0;29990
20820;124571.0;6834344.0;1;1;1;29217
20820;124695.0;6799102.0;1;0;0;29770
20801;124754.0;6834397.0;1;1;0;29217
20820;126832.0;6850891.0;1;1;0;29840
20801;126839.0;6850905.0;1;1;0;29840
20810;127043.0;6835882.0;1;1;1;29217
20801;127568.0;6845233.0;1;1;1;29810
20801;128710.0;6798555.0;1;1;1;29770
20820;128752.0;6833527.0;1;1;1;29217
20815;128760.0;6833539.0;0;1;1;29217
20801;128766.0;6833546.0;1;1;1;29217
20810;128770.0;6833549.0;1;1;0;29217
20820;128841.0;6844669.0;1;1;1;29810
20815;128862.0;6844668.0;0;1;1;29810
20815;129220.0;6848789.0;0;1;1;29840
20810;129264.0;6848863.0;1;1;0;29840
20820;129846.0;6839759.0;1;1;0;29810
20801;129865.0;6839792.0;1;1;1;29810
20820;129878.0;6798001.0;1;1;0;29770
20810;129879.0;6797996.0;1;1;0;29770
20815;129898.0;6798012.0;0;1;1;29770
20810;130114.0;6854345.0;1;1;0;29840
20810;130418.0;6842903.0;1;1;0;29810
20820;133248.0;6855889.0;1;1;0;29830
20810;134821.0;6834024.0;1;1;1;29280
20815;134823.0;6834038.0;0;1;1;29280
20820;135262.0;6852772.0;1;1;1;29830
20810;135263.0;6852800.0;1;1;0;29830
20815;135264.0;6852783.0;0;1;0;29830
20801;135264.0;6852806.0;1;1;1;29830
20801;135485.0;6833857.0;1;1;1;29280
20801;136567.0;6836278.0;0;1;1;29280
20810;136592.0;6841494.0;0;1;0;29290
20801;136595.0;6841496.0;0;1;1;29290
20810;136658.0;6836986.0;1;1;1;29280
20801;136672.0;6836980.0;1;1;0;29280
20820;136709.0;6836971.0;1;1;1;29280
20810;136918.0;6844810.0;1;1;0;29290
20820;136926.0;6833491.0;1;1;1;29280
20810;137269.0;6797110.0;1;1;0;29770
20801;137508.0;6843513.0;1;1;1;29290
20820;137794.0;6843213.0;1;1;1;29290
20801;137903.0;6835712.0;1;1;1;29280
20815;137945.0;6843006.0;0;1;1;29290
20810;138045.0;6836907.0;1;1;1;29280
20815;138048.0;6836906.0;0;1;1;29280
20820;138073.0;6823980.0;1;1;1;29570
20801;138074.0;6823972.0;1;1;0;29570
20810;138177.0;6823771.0;1;1;0;29570
20815;138179.0;6823798.0;0;1;0;29570
20810;138848.0;6856582.0;1;1;0;29830
20820;138848.0;6856585.0;1;1;0;29830
20815;139223.0;6852006.0;0;1;0;29830
20820;139226.0;6852004.0;1;1;1;29830
20810;139902.0;6835505.0;1;1;1;29280
20801;139907.0;6835500.0;1;1;0;29280
20801;140028.0;6795550.0;1;1;1;29780
20810;140032.0;6795537.0;0;1;0;29780
20820;140033.0;6795536.0;1;1;0;29780
20815;140035.0;6795539.0;0;1;1;29780
20801;140057.0;6833570.0;1;1;1;29280
20810;140081.0;6842315.0;1;1;0;29290
20810;140594.0;6833532.0;1;1;1;29280
20820;140606.0;6833537.0;1;1;1;29280
20820;140746.0;6841216.0;1;1;1;29820
20801;140754.0;6841227.0;1;1;1;29820
20820;141217.0;6845048.0;1;1;1;29290
20801;141469.0;6794973.0;1;1;1;29780
20815;141897.0;6840844.0;0;1;1;29820
20801;141899.0;6840848.0;1;1;1;29820
20801;142146.0;6834833.0;1;1;0;29200
20801;142162.0;6845551.0;1;1;0;29290
20801;142505.0;6839777.0;1;1;0;29820
20810;142515.0;6839739.0;1;1;0;29820
20801;142613.0;6818411.0;0;1;1;29160
20801;142726.0;6858673.0;1;1;0;29870
20820;142727.0;6858669.0;1;0;0;29870
20801;142764.0;6835819.0;0;1;1;29200
20810;143070.0;6795023.0;1;1;0;29780
20801;143096.0;6835223.0;1;1;0;29200
20810;143101.0;6835220.0;1;1;1;29200
20801;143246.0;6796660.0;1;1;0;29780
20820;143252.0;6836009.0;1;1;1;29200
20820;143253.0;6796649.0;1;1;0;29780
20815;143261.0;6796657.0;0;1;1;29780
20810;143346.0;6834453.0;1;1;1;29200
20820;143534.0;6835381.0;1;1;1;29200
20810;143693.0;6838607.0;1;1;1;29820
20801;143706.0;6835896.0;1;1;1;29200
20820;143721.0;6836353.0;0;1;0;29200
20820;143744.0;6836137.0;1;1;1;29200
20815;143846.0;6836139.0;0;1;1;29200
20810;143853.0;6836141.0;1;1;1;29200
20801;144094.0;6837276.0;1;1;1;29200
20810;144485.0;6820483.0;1;1;0;29160
20815;144487.0;6820496.0;0;1;1;29160
20801;144607.0;6820243.0;1;1;1;29160
20810;144607.0;6846681.0;1;0;0;29870
20820;144650.0;6835630.0;1;1;1;29200
20810;144663.0;6835636.0;1;1;1;29200
20815;144668.0;6835629.0;0;1;1;29200
20820;144702.0;6838541.0;1;1;1;29200
20815;144775.0;6838411.0;0;1;1;29200
20801;144789.0;6838423.0;1;1;1;29200
20801;144796.0;6835589.0;1;1;1;29200
20810;144880.0;6856807.0;1;1;1;29870
20801;145035.0;6836166.0;0;1;1;29200
20820;145154.0;6836575.0;1;1;1;29200
20810;145204.0;6835519.0;1;1;1;29200
20801;145216.0;6837970.0;1;1;1;29200
20810;145218.0;6837969.0;1;1;1;29200
20801;145233.0;6836599.0;1;1;1;29200
20810;145235.0;6836483.0;1;1;1;29200
20815;145247.0;6836492.0;0;1;1;29200
20801;145347.0;6835997.0;1;0;0;29200
20820;145445.0;6860991.0;1;1;0;29880
20801;145453.0;6855967.0;0;1;0;29870
20801;145456.0;6823087.0;0;0;0;29160
20820;145497.0;6835869.0;1;1;1;29200
20820;145536.0;6820163.0;1;1;1;29160
20801;145615.0;6835818.0;1;1;1;29200
20801;145696.0;6838740.0;1;1;0;29200
20820;145754.0;6837668.0;1;1;1;29200
20815;145754.0;6837679.0;0;1;1;29200
20810;145934.0;6847505.0;1;1;0;29860
20820;145949.0;6847510.0;1;1;0;29860
20810;146006.0;6838487.0;1;1;1;29200
